Region,year,inflow (kt),outflow (kt),all sand supply (kt),recycled sand supply (kt),sand stock (kt),sand substitution,all gravel supply (kt),recycled gravel supply (kt),gravel stock (kt),gravel substitution
Brazil,1970,55996.37857243274,6584.1356115279505,19553.1235046111,0.0,0.0,0.0,25736.63581803596,0.0,0.0,0.0
Brazil,1971,54114.36433935615,6841.611645793642,18895.95142179182,0.0,0.0,0.0,24871.63854221395,0.0,0.0,0.0
Brazil,1972,102760.42765317507,7106.9929244576215,35882.451410498295,0.0,0.0,0.0,47229.97755282338,0.0,0.0,0.0
Brazil,1973,97449.04798362704,7405.493701105952,34027.79463971775,0.0,0.0,0.0,44788.801038709054,0.0,0.0,0.0
Brazil,1974,122635.52296627668,7740.008908615143,42822.54652433325,0.0,0.0,0.0,56364.819893750624,0.0,0.0,0.0
Brazil,1975,13978.651333226078,33838.419311217935,4881.14236875,4881.14236875,1323.1318119618081,1.0,6424.762953646712,6424.762953646712,13313.187030586707,1.0
Brazil,1976,151395.16313827797,5006.539360315249,52864.99588565961,1323.1318119618081,0.0,0.02502850496429768,69583.11015170217,13313.187030586707,0.0,0.19132785242800812
Brazil,1977,139441.62557240168,8844.30831398733,48690.99388229339,0.0,0.0,0.0,64089.114809267216,0.0,0.0,0.0
Brazil,1978,56558.47380216588,9240.158190595283,19749.399009001227,0.0,0.0,0.0,25994.981814536153,0.0,0.0,0.0
Brazil,1979,153164.2209593435,9659.224254205048,53482.72522716245,0.0,0.0,0.0,70396.19124806127,0.0,0.0,0.0
Brazil,1980,138551.88269515516,10106.392305263953,48380.30856996296,0.0,0.0,0.0,63680.17785678618,0.0,0.0,0.0
Brazil,1981,11436.899799409151,33569.3269367179,3993.599586059689,3993.599586059689,2161.3365077875383,1.0,5256.542164490444,5256.542164490444,14324.446237697108,1.0
Brazil,1982,63424.323025308295,6710.971658254488,22146.854009604303,2161.3365077875383,0.0,0.09759112995688884,29150.611973886378,14324.446237697108,0.0,0.49139435736475084
Brazil,1983,75447.52947616563,8459.748983756306,26345.18337747501,0.0,0.0,0.0,34676.62800705737,0.0,0.0,0.0
Brazil,1984,160218.64032775303,10351.101636649788,55946.02618840959,0.0,0.0,0.0,73638.49060421706,0.0,0.0,0.0
Brazil,1985,42680.157410689855,31498.709874166565,14903.292147151535,0.0,0.0,0.0,19616.33405479086,0.0,0.0,0.0
Brazil,1986,66485.06676792746,19721.06888454718,23215.621346727443,0.0,0.0,0.0,30557.368072126315,0.0,0.0,0.0
